pair_id,embedding,llm,faithfulness,answer_relevancy,context_precision,context_recall,aggregate
yxchia_multilingual-e5-large-instruct__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,e5-large,Llama-3.2-3B (Q4),0.4883333333333334,0.22784063455700623,0.7749999999593055,0.805,0.49918552369229635
bge-m3__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,bge-m3,Falcon3-3B (Q4),0.4745238095238095,0.4953939610253738,0.60833333330875,0.875,0.547594378778886
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Llama-3.2-3B (Q4),0.6416666666666666,0.2714839492461544,0.6666666666351387,0.875,0.5589451847675407
bge-m3__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,bge-m3,Phi-4-mini (Q4),0.5666666666666667,0.40802136189009375,0.64166666663875,0.9,0.5674064085614448
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Phi-4-mini (Q4),0.6366666666666667,0.4202660936681325,0.691666666632361,0.875,0.6065798280935787
bge-m3__azure-gpt5,bge-m3,azure-gpt5,0.7716666666666666,0.2961067976208477,0.6333333333025,0.875,0.6116653726134209
bge-m3__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,bge-m3,Phi-3.5-mini (Q4),0.6692857142857143,0.44697496426947714,0.6333333333025,0.9,0.6184734416556288
bge-m3__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,bge-m3,Phi-3-mini-4k (Q4),0.7166666666666666,0.44629878098501585,0.60833333330875,0.875,0.6297229676239213
bge-m3__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,bge-m3,Llama-3.2-3B (Q4),0.7607142857142858,0.40649967617650135,0.6333333333025,0.775,0.6304022837991647
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Phi-3.5-mini (Q4),0.6183333333333334,0.5721495138535345,0.6833333332959721,0.875,0.6431448541485882
yxchia_multilingual-e5-large-instruct__azure-gpt5,e5-large,azure-gpt5,0.6941666666666666,0.49739275666574817,0.7166666666272221,0.8550000000000001,0.6557178269918356
yxchia_multilingual-e5-large-instruct__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,e5-large,Phi-4-mini (Q4),0.74,0.43334281673485986,0.7666666666222222,0.805,0.6598361783449024
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Qwen2.5-3B (Q4),0.7416666666666667,0.5478768657753279,0.5833333333059721,0.875,0.6651963930604595
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Falcon3-3B (Q4),0.6266666666666667,0.653624942249061,0.6916666666273611,0.875,0.6725874826668573
yxchia_multilingual-e5-large-instruct__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,e5-large,Phi-3.5-mini (Q4),0.7633333333333333,0.44570525815586615,0.7499999999572221,0.905,0.6795449107715377
yxchia_multilingual-e5-large-instruct__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,e5-large,Falcon3-3B (Q4),0.5833333333333334,0.6762396071621113,0.7499999999563889,0.9550000000000001,0.6817052154732446
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,Qwen3-0.6B (Q8),Phi-3-mini-4k (Q4),0.6628571428571428,0.6535332236237273,0.6999999999665276,0.825,0.6837028242232809
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__azure-gpt5,Qwen3-0.6B (Q8),azure-gpt5,0.8307142857142857,0.517052121542952,0.6833333332959721,0.875,0.7115680174077944
bge-m3__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,bge-m3,Qwen2.5-3B (Q4),0.8466666666666667,0.5647634162391121,0.60833333330875,0.875,0.7172623582001503
yxchia_multilingual-e5-large-instruct__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,e5-large,Phi-3-mini-4k (Q4),0.775,0.6061827783155651,0.7666666666222222,0.8550000000000001,0.730688166819114
yxchia_multilingual-e5-large-instruct__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,e5-large,Qwen2.5-3B (Q4),0.825,0.5894281861504315,0.7333333332930554,0.905,0.7439951225037406
