pair_id,embedding,llm,faithfulness,answer_relevancy,context_precision,context_recall,aggregate
yxchia_multilingual-e5-large-instruct__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,e5-large,Phi-4-mini (Q4),0.5239682539682539,0.8029184396508926,0.7305555555167593,0.7574603174603175,0.672319976331953
yxchia_multilingual-e5-large-instruct__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,e5-large,Phi-3.5-mini (Q4),0.6007936507936508,0.7890707338263802,0.7305555555167593,0.7685714285714286,0.700006934425869
yxchia_multilingual-e5-large-instruct__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,e5-large,Qwen2.5-3B (Q4),0.6922619047619047,0.8242965593872513,0.7111111110721298,0.7685714285714286,0.7432730947925061
bge-m3__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,bge-m3,Phi-4-mini (Q4),0.5292857142857142,0.8966201117061544,0.9472222221903703,0.8219047619047618,0.7523352398546822
yxchia_multilingual-e5-large-instruct__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,e5-large,Llama-3.2-3B (Q4),0.6559523809523808,0.9268906581453431,0.7305555555167593,0.7685714285714286,0.7634164037850499
yxchia_multilingual-e5-large-instruct__azure-gpt5,e5-large,azure-gpt5,0.798794955044955,0.8235013541079731,0.7305555555167593,0.7285714285714285,0.7855366422108686
yxchia_multilingual-e5-large-instruct__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,e5-large,Phi-3-mini-4k (Q4),0.8099999999999999,0.8108935658937119,0.7305555555167593,0.7685714285714286,0.7902363237286083
bge-m3__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,bge-m3,Phi-3.5-mini (Q4),0.7517063492063493,0.8073744193626725,0.9444444444140739,0.8219047619047618,0.8139742305646325
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Phi-3.5-mini (Q4),0.7623809523809524,0.7812468861242715,0.9555555555231482,0.8730158730158731,0.8177391451958793
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Phi-4-mini (Q4),0.6980555555555557,0.8763475538504902,0.9833333333016668,0.8730158730158731,0.82609474233929
bge-m3__azure-gpt5,bge-m3,azure-gpt5,0.9429487179487179,0.6283922876546403,0.9472222221912038,0.8584126984126984,0.8409828877553898
yxchia_multilingual-e5-large-instruct__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,e5-large,Falcon3-3B (Q4),0.8728174603174603,0.9072187709565821,0.7305555555167593,0.7685714285714286,0.8442608693744535
bge-m3__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,bge-m3,Llama-3.2-3B (Q4),0.741547619047619,0.9239851294097967,0.9472222221912038,0.844126984126984,0.8476717292929258
bge-m3__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,bge-m3,Qwen2.5-3B (Q4),0.7633333333333334,0.9304221280674762,0.9472222221903703,0.8219047619047618,0.8560948923821264
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,Qwen3-0.6B (Q8),Phi-3-mini-4k (Q4),0.8150000000000001,0.8248921541499984,0.9833333333016668,0.8730158730158731,0.8574359002069203
bge-m3__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,bge-m3,Falcon3-3B (Q4),0.7818452380952381,0.9311521859463557,0.9277777777457406,0.8330158730158729,0.8609408938727374
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Qwen2.5-3B (Q4),0.8433333333333334,0.844270406118158,0.9555555555231482,0.8730158730158731,0.8690271535749977
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__azure-gpt5,Qwen3-0.6B (Q8),azure-gpt5,0.8795238095238094,0.8080316205860807,0.974999999967778,0.8730158730158731,0.8765205972804909
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Llama-3.2-3B (Q4),0.7940476190476191,0.9207491227348157,0.9833333333016668,0.8730158730158731,0.8778120384014131
bge-m3__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,bge-m3,Phi-3-mini-4k (Q4),0.8433333333333334,0.9064919403116434,0.9444444444149074,0.8219047619047618,0.880360280500284
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Falcon3-3B (Q4),0.9482352941176471,0.8357123954212046,0.966666666636389,0.8730158730158731,0.9106427569022854
